Timestamp,1 Weight,1 Reps,2 Weight,2 Reps,3 Weight,3 Reps,4 Weight,4 Reps,5 Weight,5 Reps
2024-04-17 19:53:11,40,15,60,5,60,7,0,0,0,0
2024-04-19 12:05:14,60,6,60,5,80,6,80,4,80,3
2024-05-09 18:52:25,70,11,70,12,80,9,0,0,0,0
2024-05-16 13:02:55,80,8,80,8,80,9,0,0,0,0
2024-05-18 15:23:12,100,6,100,4,0,0,0,0,0,0
2024-05-25 14:36:08,100,5,100,4,0,0,0,0,0,0
2024-06-08 14:30:44,120,5,120,5,0,0,0,0,0,0
2024-06-21 14:48:18,130,3,110,3,110,3,0,0,0,0
2024-07-05 13:23:09,120,2,100,5,100,4,0,0,0,0
2024-08-23 16:07:22,110,2,90,2,0,0,0,0,0,0
2024-10-05 17:47:48,100,5,100,4,100,3,0,0,0,0
2024-11-09 12:58:22,100,5,100,5,100,3,0,0,0,0
2024-11-16 14:15:05,110,6,110,4,110,3,0,0,0,0
2024-11-23 15:26:55,95,4,95,4,0,0,0,0,0,0
