Timestamp,1 Weight,1 Reps,2 Weight,2 Reps,3 Weight,3 Reps,4 Weight,4 Reps,5 Weight,5 Reps
2024-04-06 10:30:00,60,9,60,8,40,9,40,7,40,11
2024-04-11 11:13:00,100,6,100,6,100,5,0,0,0,0
2024-04-17 19:53:11,120,7,120,6,120,5,0,0,0,0
2024-05-18 15:23:12,140,6,140,5,0,0,0,0,0,0
2024-05-25 14:36:08,160,3,160,4,0,0,0,0,0,0
2024-06-21 14:48:18,130,6,130,6,130,6,0,0,0,0
2024-08-23 16:07:22,90,9,90,6,0,0,0,0,0,0
2024-09-21 19:45:24,100,5,100,10,0,0,0,0,0,0
2024-10-05 17:47:48,100,8,100,6,100,6,0,0,0,0
2024-10-26 15:13:13,120,9,120,9,120,7,0,0,0,0
2024-11-16 14:15:05,135,7,135,8,135,7,0,0,0,0
